"","tweet_text","created_at","screen_name","name"
"1","tate  tate amp lyle plc company secretary change ","2017-02-01 07:19:02","Wicked_Trader","Wicked Trader"
"2"," investors are bracing for a massive stockmarket sellof thats story is incorrect  or  strike calls  will be worthless if‚Ä","2017-01-31 08:47:36","cwilliamsmarga3","Margaret C. Williams"
"3","spx one chart you need to know gt stock market capitalization as  of gdp at nd highest level in  years‚Ä ","2017-02-01 14:26:32","TheDayTradr","TheDayTradr"
"4"," messy travel ban rollout ruins stock market surge ","2017-01-31 19:18:42","share1thought","just a thought"
"5","congratulations to  frii who opened the market in celebration of their listing on toronto stock exchange‚Ä ","2017-01-31 09:57:56","tsx_tsxv","Canada's Markets"
"6","the stock market is on an epic upswing heres why it probably hasnt benefited you ","2017-01-31 12:17:45","prasadmaddali20","Sandeep"
"7"," birth control pharmaceuticals about to lose their stock market prices","2017-02-01 15:32:31","epysamson","Epic"
"8","yeah and  dodge caravan is slow compared to a corvette stocks and bonds are not fungible ","2017-02-02 09:51:36","Bond_Squad","Tom Byrne"
"9"," dont listen to the naysayers stock bull market not over investing trading ","2017-02-02 16:31:01","MickeyJohnson07","mickey johnson"
"10","just inherited  it is currently in a trading account its fully invested in vti vanguard total stock market etf what should i do‚Ä","2017-02-01 16:31:13","2016TaxAdvice","Ron Jenkins"
"11","snapchat reveals plans for us stock market listing ","2017-02-02 20:35:10","NilaLamphere","John Michael"
"12"," the media made big mistake yesterday saying that rumors spreading that tax cut may not happen until  caused stoc‚Ä","2017-01-31 13:00:24","beachyfamily7","ly"
"13"," what would force  to rethink muslim ban amp antitrade posture this falling stock market ","2017-01-31 11:30:48","dianez123","Diane"
"14"," here is a person that didnt do his job when it came time to vote on the national budget stock market crashed next day","2017-02-02 18:24:13","david_flanary","David Flanary"
"15"," the stock market is amazingly responsive on a shortterm basis to every single thing trump does or says during ","2017-01-31 18:51:11","greatnhorrible","Great n Horrible"
"16","chinese tycoon ‚Äòhelping inquiries‚Äô into  stock market turmoil and case of former top spy ","2017-02-01 20:47:59","tohhanshih","toh han shih"
"17","trump has hailed the stock market surge as an endorsement of his policies ‚Äî and predicted there was more growth ","2017-01-31 19:49:58","ACRProdCo","A.C. Ross"
"18","the swiss stock market staged a recovery as roche jumped ","2017-02-01 12:44:09","newshqtoday","News Headquarter"
"19","if stock market experts were so expery they would be buying stock not seling advice   norman r augustine","2017-02-02 08:50:15","ronsalmeron407","floramaria"
"20"," stock picks in the  billion virtual reality market ","2017-02-02 06:47:15","L_Holodnaja",""
"21","snapchat files plans for us stock market listing ","2017-02-02 17:48:47","cfvyzrf1","Halcyone Bernhardt"
"22","unionbudget govt moves to curb ‚Äòsham‚Äô deals in stock market ","2017-02-01 07:20:23","FinancialXpress","Financial Express"
"23"," the stock market in  ","2017-02-01 19:00:42","spencerrian58","spencer massengale"
"24"," share prices uk stock market information financial news stock charts share trades virtual stock trading ","2017-02-01 10:13:16","gastgarbio86","Mia Walker"
"25","column the stock market hates trump‚Äôs economic policies ","2017-01-31 15:54:43","FastSwings","Ralph Palmer"
"26","stock market update consumer confidence just released equity indices have ticked down slightly in‚Ä briefingcom","2017-01-31 10:09:28","FinanzLinksCom","FinanzLinksUSA"
