"","tweet_text","create_at","names","screen_name","Gender"
"1","tate  tate amp lyle plc company secretary change ","2017-02-01 07:19:02","WICKED_TRADER","WICKED TRADER",NA
"2"," investors are bracing for a massive stockmarket sellof thats story is incorrect  or  strike calls  will be worthless if‚Ä","2017-01-31 08:47:36","CWILLIAMSMARGA3","MARGARET C. WILLIAMS",2
"3","spx one chart you need to know gt stock market capitalization as  of gdp at nd highest level in  years‚Ä ","2017-02-01 14:26:32","THEDAYTRADR","THEDAYTRADR",1
"4"," messy travel ban rollout ruins stock market surge ","2017-01-31 19:18:42","SHARE1THOUGHT","JUST A THOUGHT",1
"5","congratulations to  frii who opened the market in celebration of their listing on toronto stock exchange‚Ä ","2017-01-31 09:57:56","TSX_TSXV","CANADA'S MARKETS",NA
"6","the stock market is on an epic upswing heres why it probably hasnt benefited you ","2017-01-31 12:17:45","PRASADMADDALI20","SANDEEP",2
"7"," birth control pharmaceuticals about to lose their stock market prices","2017-02-01 15:32:31","EPYSAMSON","EPIC",NA
"8","yeah and  dodge caravan is slow compared to a corvette stocks and bonds are not fungible ","2017-02-02 09:51:36","BOND_SQUAD","TOM BYRNE",NA
"9"," dont listen to the naysayers stock bull market not over investing trading ","2017-02-02 16:31:01","MICKEYJOHNSON07","MICKEY JOHNSON",2
"10","just inherited  it is currently in a trading account its fully invested in vti vanguard total stock market etf what should i do‚Ä","2017-02-01 16:31:13","2016TAXADVICE","RON JENKINS",NA
"11","snapchat reveals plans for us stock market listing ","2017-02-02 20:35:10","NILALAMPHERE","JOHN MICHAEL",NA
"12"," the media made big mistake yesterday saying that rumors spreading that tax cut may not happen until  caused stoc‚Ä","2017-01-31 13:00:24","BEACHYFAMILY7","LY",NA
"13"," what would force  to rethink muslim ban amp antitrade posture this falling stock market ","2017-01-31 11:30:48","DIANEZ123","DIANE",2
"14"," here is a person that didnt do his job when it came time to vote on the national budget stock market crashed next day","2017-02-02 18:24:13","DAVID_FLANARY","DAVID FLANARY",2
"15"," the stock market is amazingly responsive on a shortterm basis to every single thing trump does or says during ","2017-01-31 18:51:11","GREATNHORRIBLE","GREAT N HORRIBLE",NA
"16","chinese tycoon ‚Äòhelping inquiries‚Äô into  stock market turmoil and case of former top spy ","2017-02-01 20:47:59","TOHHANSHIH","TOH HAN SHIH",NA
"17","trump has hailed the stock market surge as an endorsement of his policies ‚Äî and predicted there was more growth ","2017-01-31 19:49:58","ACRPRODCO","A.C. ROSS",NA
"18","the swiss stock market staged a recovery as roche jumped ","2017-02-01 12:44:09","NEWSHQTODAY","NEWS HEADQUARTER",NA
"19","if stock market experts were so expery they would be buying stock not seling advice   norman r augustine","2017-02-02 08:50:15","RONSALMERON407","FLORAMARIA",2
"20"," stock picks in the  billion virtual reality market ","2017-02-02 06:47:15","L_HOLODNAJA","",NA
"21","snapchat files plans for us stock market listing ","2017-02-02 17:48:47","CFVYZRF1","HALCYONE BERNHARDT",NA
"22","unionbudget govt moves to curb ‚Äòsham‚Äô deals in stock market ","2017-02-01 07:20:23","FINANCIALXPRESS","FINANCIAL EXPRESS",NA
"23"," the stock market in  ","2017-02-01 19:00:42","SPENCERRIAN58","SPENCER MASSENGALE",2
"24"," share prices uk stock market information financial news stock charts share trades virtual stock trading ","2017-02-01 10:13:16","GASTGARBIO86","MIA WALKER",NA
"25","column the stock market hates trump‚Äôs economic policies ","2017-01-31 15:54:43","FASTSWINGS","RALPH PALMER",2
"26","stock market update consumer confidence just released equity indices have ticked down slightly in‚Ä briefingcom","2017-01-31 10:09:28","FINANZLINKSCOM","FINANZLINKSUSA",NA
"27","true hold dims responsible for all the chaos including drop in stock market democratobstruction ","2017-01-31 13:04:14","LYNDA_LUTTRELL","LYNDA LUTTRELL",1
"28","snapchat reveals plans for us stock market listing hlonare","2017-02-02 19:57:06","HLONARE","HLONARE",NA
"29"," glendale stock market listings ","2017-02-01 11:05:21","HARDHINSLU91","SYDNEY KING",2
"30","stock market news for february    ","2017-02-02 07:58:21","MRTOPSTEP","MRTOPSTEP",NA
"31"," stock market seems to disagree with her","2017-02-01 17:05:45","CURSEDOBJECT","SEAN LESTER",NA
"32","  trading strategies for increasing your stock market profits stocks trading tsla fb‚Ä ","2017-02-02 12:45:30","BLLSHBRSH","BULLISH BEARISH",NA
"33","stock market rises on fed statement apple rally  marketwatch stocks news ","2017-02-01 15:32:13","SIGNALSME","SIGNALS.ME",1
"34","trump dump continues as stocks sell off will apple sales growth return ","2017-01-31 11:02:43","WY_BUTLER","WY_BUTLER",NA
"35"," almost the entire trump bump in the stock market has gone away ","2017-01-31 18:31:46","SNUKKEMS","SNUKKEMS",NA
"36"," snapchat owner files for listing on us stock market to raise bn making it biggest us flotation in recent years ","2017-02-02 18:19:38","CELOAMBRIZ","MARCELO LUIS AMBRIZ",2
"37","are you prepared for the crash of the stock market please view dont b stupid christianity","2017-02-01 14:55:59","IMREADINGLYRICS","READING LYRICS",NA
"38","options maxpain chart for rsx free stock station app itunes ","2017-02-02 13:59:38","OPTIONSMAXPAIN","OPTIONSPRO MAXPAIN",NA
"39","two african immigrant artists honoured in america  business post nigeria business news amp stock market reports ","2017-02-02 15:28:36","BUSINESSPOSTNG","BUSINESSPOST NIGERIA",NA
"40"," i remember hearing during the election how the stock market would tank if trump won guess what the dow hit  for th‚Ä","2017-01-31 19:14:16","CHRISTINAEVANGI","CHRISTINA E",2
"41","fake out vix fear index crashes to year low meaning there is no risk in the us stock market now

vxx ","2017-02-01 17:25:24","CRYPTOCRYPTICS","CRYPTOCRYPTICS",NA
"42","south africas nandos denies stock market flotation report analyst ","2017-01-31 06:55:10","NEWS_ANALYST","NEWSLOCKER_ANALYST",NA
